75ms
(1,2,3,5,7,),(0,0,1,1,1,) (2,4,5,7,9,),(0,0,1,1,1,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (1,2,3,4,8,),(0,0,1,0,0,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (0,2,4,6,7,),(0,0,0,0,1,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (4,5,7,8,9,),(0,1,1,0,1,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (0,5,6,7,8,),(0,1,0,1,0,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (1,4,5,7,9,),(0,0,1,1,1,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (3,4,5,8,9,),(1,0,1,0,1,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (0,2,4,6,9,),(0,0,0,0,1,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (0,2,3,4,6,),(0,0,1,0,0,) 0
(1,2,3,5,7,),(0,0,1,1,1,) (3,4,6,8,9,),(1,0,0,0,1,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (1,2,3,4,8,),(0,0,1,0,0,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (0,2,4,6,7,),(0,0,0,0,1,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (4,5,7,8,9,),(0,1,1,0,1,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (0,5,6,7,8,),(0,1,0,1,0,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (1,4,5,7,9,),(0,0,1,1,1,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (3,4,5,8,9,),(1,0,1,0,1,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (0,2,4,6,9,),(0,0,0,0,1,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (0,2,3,4,6,),(0,0,1,0,0,) 0
(2,4,5,7,9,),(0,0,1,1,1,) (3,4,6,8,9,),(1,0,0,0,1,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (0,2,4,6,7,),(0,0,0,0,1,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (4,5,7,8,9,),(0,1,1,0,1,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (0,5,6,7,8,),(0,1,0,1,0,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (1,4,5,7,9,),(0,0,1,1,1,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (3,4,5,8,9,),(1,0,1,0,1,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (0,2,4,6,9,),(0,0,0,0,1,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (0,2,3,4,6,),(0,0,1,0,0,) 0
(1,2,3,4,8,),(0,0,1,0,0,) (3,4,6,8,9,),(1,0,0,0,1,) 0
(0,2,4,6,7,),(0,0,0,0,1,) (4,5,7,8,9,),(0,1,1,0,1,) 0
(0,2,4,6,7,),(0,0,0,0,1,) (0,5,6,7,8,),(0,1,0,1,0,) 0
(0,2,4,6,7,),(0,0,0,0,1,) (1,4,5,7,9,),(0,0,1,1,1,) 0
(0,2,4,6,7,),(0,0,0,0,1,) (3,4,5,8,9,),(1,0,1,0,1,) 0
(0,2,4,6,7,),(0,0,0,0,1,) (0,2,4,6,9,),(0,0,0,0,1,) 0
(0,2,4,6,7,),(0,0,0,0,1,) (0,2,3,4,6,),(0,0,1,0,0,) 0
